RK,NAME,TEAM,SALARY
424,"Daniel Oturu, C",Toronto Raptors,"$1,517,981"
425,"Vernon Carey Jr., C",Washington Wizards,"$1,517,981"
426,"Caleb Homesley, SG",Washington Wizards,"$1,517,981"
427,"Anthony Gill, PF",Washington Wizards,"$1,517,981"
428,"Robert Woodard II, F",Sacramento Kings,"$1,517,981"
429,"Isaiah Joe, SG",Philadelphia 76ers,"$1,517,981"
430,"Tre Jones, PG",San Antonio Spurs,"$1,517,981"
431,"Jahmi'us Ramsey, SG",Sacramento Kings,"$1,517,981"
432,"Elijah Hughes, F",Portland Trail Blazers,"$1,517,981"
433,"Paul Reed, SF",Philadelphia 76ers,"$1,517,981"
434,"CJ Elleby, SG",Portland Trail Blazers,"$1,517,981"
435,"Elijah Bryant, SG",Milwaukee Bucks,"$1,517,981"
436,"Deividas Sirvydis, F",Detroit Pistons,"$1,517,981"
437,"Jordan Nwora, SF",Milwaukee Bucks,"$1,517,981"
438,"Kenyon Martin Jr., F",Houston Rockets,"$1,517,981"
439,"Jae'Sean Tate, SF",Houston Rockets,"$1,517,981"
440,"Sam Merrill, SG",Memphis Grizzlies,"$1,517,981"
441,"Lamar Stevens, F",Cleveland Cavaliers,"$1,517,981"
442,"Mamadi Diakite, F",Oklahoma City Thunder,"$1,517,981"
443,"Naji Marshall, SF",New Orleans Pelicans,"$1,517,981"
444,"Isaiah Todd, PF",Washington Wizards,"$1,500,000"
445,"Saben Lee, G",Detroit Pistons,"$1,489,065"
446,"Omer Yurtseven, C",Miami Heat,"$1,489,065"
447,"JT Thor, F",Charlotte Hornets,"$1,250,000"
448,"Wesley Matthews, SG",Milwaukee Bucks,"$1,237,494"
449,"Alfonzo McKinnie, F",Chicago Bulls,"$1,090,007"
450,"Jason Preston, PG",LA Clippers,"$1,062,303"
451,"Isaiah Livers, PF",Detroit Pistons,"$1,057,260"
452,"Tristan Thompson, C",Chicago Bulls,"$1,000,000"
453,"Marquese Chriss, SF",Dallas Mavericks,"$958,529"
454,"Duane Washington Jr., PG",Indiana Pacers,"$950,000"
455,"Dalano Banton, PG",Toronto Raptors,"$925,258"
456,"Georgios Kalaitzakis, SF",Oklahoma City Thunder,"$925,258"
457,"Jared Butler, SG",Utah Jazz,"$925,258"
458,"Charles Bassey, C",Philadelphia 76ers,"$925,258"
459,"Greg Brown III, PF",Portland Trail Blazers,"$925,258"
460,"Jock Landale, C",San Antonio Spurs,"$925,258"
461,"Miles McBride, PG",New York Knicks,"$925,258"
462,"Luka Garza, C",Detroit Pistons,"$925,258"
463,"Austin Reaves, SG",Los Angeles Lakers,"$925,258"
464,"Brandon Boston Jr., SG",LA Clippers,"$925,258"
465,"Marko Simonovic, C",Chicago Bulls,"$925,258"
466,"Ayo Dosunmu, SG",Chicago Bulls,"$925,258"
467,"Vit Krejci, G",Oklahoma City Thunder,"$925,258"
468,"Stanley Johnson, SF",Los Angeles Lakers,"$888,616"
469,"Bismack Biyombo, C",Phoenix Suns,"$863,368"
470,"Lance Stephenson, G",Indiana Pacers,"$642,729"
471,"Daishen Nix, SG",Houston Rockets,"$612,000"
472,"Terry Taylor, F",Indiana Pacers,"$600,000"
473,"Danuel House Jr., SF",Utah Jazz,"$565,986"
474,"Luke Kornet, C",Boston Celtics,"$565,986"
475,"Keifer Sykes, G",Indiana Pacers,"$558,345"
476,"Ryan Arcidiacono, G",New York Knicks,"$546,800"
477,"DeAndre' Bembry, SG",Milwaukee Bucks,"$518,021"
478,"Goran Dragic, PG",Brooklyn Nets,"$460,463"
479,"Jevon Carter, PG",Milwaukee Bucks,"$441,277"
480,"Trendon Watford, PF",Portland Trail Blazers,"$436,482"
481,"Nik Stauskas, G",Boston Celtics,"$432,536"
482,"DeMarcus Cousins, C",Denver Nuggets,"$431,684"
483,"D.J. Augustin, G",Los Angeles Lakers,"$393,312"
484,"DeAndre Jordan, C",Philadelphia 76ers,"$374,126"
485,"Devontae Cacok, PF",San Antonio Spurs,"$364,353"
486,"Sam Hauser, SF",Boston Celtics,"$313,737"
487,"Haywood Highsmith, F",Miami Heat,"$290,967"
488,"Malik Fitts, F",Boston Celtics,"$231,062"
489,"Joe Wieskamp, SF",San Antonio Spurs,"$202,068"
490,"Isaiah Thomas, G",Charlotte Hornets,"$191,860"
491,"Amir Coffey, SG",LA Clippers,"$153,488"
492,"Jose Alvarado, PG",New Orleans Pelicans,"$150,000"
493,"Armoni Brooks, G",Toronto Raptors,"$136,926"
494,"Devin Cannady, G",Orlando Magic,"$100,000"
495,"Luca Vildoza, G",Milwaukee Bucks,"$42,789"
496,"Rayjon Tucker, G",Milwaukee Bucks,"$28,779"
497,"Juwan Morgan, F",Toronto Raptors,"$19,816"
498,"Moses Brown, C",Cleveland Cavaliers,"$19,186"
499,"Xavier Sneed, F",Utah Jazz,"$8,558"
500,"Kessler Edwards, SF",Brooklyn Nets,"$5,318"
501,"Ish Wainright, F",Phoenix Suns,"$5,318"
